X,Y,LabSampleId,SiteCode,CocSampleId,SampleType,LabName,LabJobName,Matrix,CollectionDate,AnalysisMethod,DilutionFactor,AnalysisDate,Duplicate,Unit,Watershed,Waterbody,LocationCode,HUC10,HUC8,Project,Description,AdditionalDescription,VisitID,SampleDepth,Longitude,Latitude,CAS307244_PFHxA,CAS307244_PFHxAFlag,CAS307244_PFHxAMdl,CAS307244_PFHxARl,CAS307551_PFDoA,CAS307551_PFDoAFlag,CAS307551_PFDoAMdl,CAS307551_PFDoARl,CAS335671_PFOA,CAS335671_PFOAFlag,CAS335671_PFOAMdl,CAS335671_PFOARl,CAS335762_PFDA,CAS335762_PFDAFlag,CAS335762_PFDAMdl,CAS335762_PFDARl,CAS335773_PFDS,CAS335773_PFDSFlag,CAS335773_PFDSMdl,CAS335773_PFDSRl,CAS355464_PFHxS,CAS355464_PFHxSFlag,CAS355464_PFHxSMdl,CAS355464_PFHxSRl,CAS356025_33FTCA,CAS356025_33FTCAFlag,CAS356025_33FTCAMdl,CAS356025_33FTCARl,CAS375224_PFBA,CAS375224_PFBAFlag,CAS375224_PFBAMdl,CAS375224_PFBARl,CAS375735_PFBS,CAS375735_PFBSFlag,CAS375735_PFBSMdl,CAS375735_PFBSRl,CAS375859_PFHpA,CAS375859_PFHpAFlag,CAS375859_PFHpAMdl,CAS375859_PFHpARl,CAS375928_PFHpS,CAS375928_PFHpSFlag,CAS375928_PFHpSMdl,CAS375928_PFHpSRl,CAS375951_PFNA,CAS375951_PFNAFlag,CAS375951_PFNAMdl,CAS375951_PFNARl,CAS376067_PFTeA,CAS376067_PFTeAFlag,CAS376067_PFTeAMdl,CAS376067_PFTeARl,CAS646833_PFecHS,CAS646833_PFecHSFlag,CAS646833_PFecHSMdl,CAS646833_PFecHSRl,CAS754916_PFOSA,CAS754916_PFOSAFlag,CAS754916_PFOSAMdl,CAS754916_PFOSARl,CAS812704_73FTCA,CAS812704_73FTCAFlag,CAS812704_73FTCAMdl,CAS812704_73FTCARl,CAS1763231_PFOS,CAS1763231_PFOSFlag,CAS1763231_PFOSMdl,CAS1763231_PFOSRl,CAS2058948_PFUnA,CAS2058948_PFUnAFlag,CAS2058948_PFUnAMdl,CAS2058948_PFUnARl,CAS2355319_NMeFOSAA,CAS2355319_NMeFOSAAFlag,CAS2355319_NMeFOSAAMdl,CAS2355319_NMeFOSAARl,CAS2706903_PFPeA,CAS2706903_PFPeAFlag,CAS2706903_PFPeAMdl,CAS2706903_PFPeARl,CAS2706914_PFPeS,CAS2706914_PFPeSFlag,CAS2706914_PFPeSMdl,CAS2706914_PFPeSRl,CAS2991506_NEtFOSAA,CAS2991506_NEtFOSAAFlag,CAS2991506_NEtFOSAAMdl,CAS2991506_NEtFOSAARl,CAS13252136_GenX,CAS13252136_GenXFlag,CAS13252136_GenXMdl,CAS16517116_PFODA,CAS16517116_PFODAFlag,CAS16517116_PFODAMdl,CAS13252136_GenXRl,CAS16517116_PFODARl,CAS27619972_62FTS,CAS27619972_62FTSFlag,CAS27619972_62FTSMdl,CAS27619972_62FTSRl,CAS30334691_PFBSA,CAS30334691_PFBSAFlag,CAS30334691_PFBSAMdl,CAS30334691_PFBSARl,CAS39108344_82FTS,CAS39108344_82FTSFlag,CAS39108344_82FTSMdl,CAS39108344_82FTSRl,CAS41997131_PFHxSA,CAS41997131_PFHxSAFlag,CAS41997131_PFHxSAMdl,CAS41997131_PFHxSARl,CAS67905195_PFHxDA,CAS67905195_PFHxDAFlag,CAS67905195_PFHxDAMdl,CAS67905195_PFHxDARl,CAS68259121_PFNS,CAS68259121_PFNSFlag,CAS68259121_PFNSMdl,CAS68259121_PFNSRl,CAS72629948_PFTriA,CAS72629948_PFTriAFlag,CAS72629948_PFTriAMdl,CAS72629948_PFTriARl,CAS756426581_F53BMajor,CAS756426581_F53BMajorFlag,CAS756426581_F53BMajorMdl,CAS756426581_F53BMajorRl,CAS757124724_42FTS,CAS757124724_42FTSFlag,CAS757124724_42FTSMdl,CAS757124724_42FTSRl,CAS763051929_F53BMinor,CAS763051929_F53BMinorFlag,CAS763051929_F53BMinorMdl,CAS763051929_F53BMinorRl,CAS914637493_53FTCA,CAS914637493_53FTCAFlag,CAS914637493_53FTCAMdl,CAS914637493_53FTCARl,CAS919005144_ADONA,CAS919005144_ADONAFlag,CAS919005144_ADONAMdl,CAS919005144_ADONARl,CreatedUser,CreatedDate,LastEditedUser,LastEditedDate,GlobalID,OBJECTID
561686.498321555,197951.778339915,2205178-18,25-HC-0030,HEL-DWN,,EGLE,2205178,H2O,2022/05/12 00:00:00+00,PFAS-8327,1,2022/05/24 00:00:00+00,1,ng/L,Kalamazoo,Helmer Creek,HC-0030,0405000305,04050003,Investigative,d/s Beaver Dam Pond,,2022011,,-85.25004614,42.32957884,39,,0.6,2,0.4,K,0.4,2,21,,1.2,2,1.5,K,1.5,2,0.5,K,0.5,2,150,,0.6,2,,,,,13,,0.4,4,11,,0.3,2,14,,0.3,2,2.5,,0.6,2,2.3,,0.6,2,0.9,K,0.9,4,0.7,K,0.7,2,0.7,K,0.7,2,,,,,71,,0.7,2,0.9,K,0.9,2,1.1,K,1.1,2,38,,0.5,2,12,,0.9,2,0.8,K,0.8,2,0.9,K,0.9,,,,4,,2.4,,1,2,12,,0.6,2,0.9,K,0.9,2,14,,0.4,2,,,,,0.4,K,0.4,2,0.6,K,0.6,4,0.4,K,0.4,2,0.7,K,0.7,2,0.7,K,0.7,2,,,,,0.4,K,0.4,2,,,,,{BF8D18B1-90D3-446F-A222-C99C3807E170},668
534716.096973327,197127.165816472,320-41985-41,25-KR-0120,,Depth Integrated,TestAmerica,,Water,2018/08/07 00:00:00+00,537 (modified),1,2018/08/21 00:00:00+00,3,ng/L,Kalamazoo,Kalamazoo River,KR-0120,0405000306,04050003,Investigative,Kalamazoo River d/s of Hercules Subsurface,,2018100,Integrated,-85.577425,42.323955,2.8,,0.52,1,0.49,K,0.49,1,2.2,,0.76,1,0.28,K,0.28,1,0.28,K,0.28,1,3.1,B,0.15,1,,,,,2.6,,0.31,1,1.6,,0.18,1.6,1,J,0.22,1.8,0.17,K,0.17,1,0.7,J,0.24,1,0.26,K,0.26,1,,,,,0.31,K,0.31,1,,,,,4,B,0.48,1,0.98,K,0.98,1,2.8,K,2.8,18,4.5,,0.44,1,0.38,J,0.27,1,1.7,K,1.7,18,,,,,,,,,1.8,K,1.8,18,,,,,1.8,K,1.8,18,,,,,,,,,0.14,K,0.14,1,1.2,K,1.2,1.8,,,,,4.6,K,4.6,18,,,,,,,,,,,,,,,,,{B436100B-0E69-464D-9DA8-64B988C859BE},669
535056.344713246,193868.093757788,320-41985-50,25-PC-0010,PC-0010R,Replicate,TestAmerica,,Water,2018/08/07 00:00:00+00,537 (modified),1,2018/08/21 00:00:00+00,2,ng/L,Kalamazoo,Portage Creek,PC-0010,0405000306,04050003,Investigative,Portage Creek at E. Michigan Ave (US Confluence with ,,2018100,,-85.573515,42.29459,1.7,J,0.55,1.9,0.52,K,0.52,1,2.8,,0.8,1,0.29,K,0.29,1,0.3,K,0.3,1,2.3,B,0.16,1,,,,,2.9,,0.33,1,3.3,,0.19,1,0.94,J,0.24,1,0.18,K,0.18,1,0.28,J,0.25,1,0.37,J,0.27,1,,,,,0.33,K,0.33,1,,,,,4.1,B,0.51,1,1,K,1,1.9,2.9,K,2.9,19,1.6,J,0.46,1.9,0.34,J,0.28,1,1.8,K,1.8,19,,,,,,,,,1.9,K,1.9,19,,,,,1.9,K,1.9,19,,,,,,,,,0.15,K,0.15,1,1.2,K,1.2,1.8,,,,,4.9,K,4.9,19,,,,,,,,,,,,,,,,,{64E85833-2ABF-4451-B1F8-E41C6E44E372},670
560773.353927825,197535.10867997,(240-106185-,25-HC-0070,,,Eurofins/Lancaster,2021694,Water,2018/12/20 00:00:00+00,EPA 537 Version 1.1 Modified,,2018/12/31 00:00:00+00,1,ng/l,Kalamazoo,Helmer Creek,HC-0070,0405000305,04050003,Investigative,Avenue A,Helmer Creek u-s Beaver Dam Pond,2018200,,-85.261175,42.325903,22,,0.35,1.8,0.44,K,0.44,1.8,6.6,,0.26,0.88,0.79,K,0.79,1.8,0.53,K,0.53,1.8,53,,0.35,1.8,,,,,6.8,,1.8,5.3,5.9,,0.26,0.88,6.6,,0.35,0.88,0.37,J,0.35,1.8,0.38,J,0.35,1.8,0.26,K,0.26,0.88,,,,,0.44,K,0.44,2.6,,,,,5.5,,0.35,1.8,0.35,K,0.35,1.8,0.88,K,0.88,2.6,17,,1.8,5.3,6.7,,0.35,1.8,0.88,K,0.88,2.6,,,,,,,,,0.88,K,0.88,1.8,,,,,1.8,K,1.8,5.3,,,,,,,,,0.53,K,0.53,1.8,0.35,K,0.35,0.88,,,,,0.88,K,0.88,2.6,,,,,,,,,,,,,,,,,{F4CE6B8F-6C61-4912-BA04-C1A25A5D4762},671
535083.349739865,197133.076575535,320-41985-43,25-PPD2-0020,,,TestAmerica,,Water,2018/08/07 00:00:00+00,537 (modified),1,2018/08/21 00:00:00+00,1,ng/L,Kalamazoo,SW Outfall,PPD2-0020,0405000306,04050003,Investigative,"Parchment storm water outfall 4; flowing",,2018100,,-85.572968,42.32399,3,,0.49,1,0.46,K,0.46,1,3,,0.72,1,0.26,K,0.26,1,0.27,K,0.27,1,7,B,0.14,1,,,,,2.4,,0.3,1,5.7,,0.17,1,1.4,J,0.21,1.8,0.16,K,0.16,1,0.23,K,0.23,1,0.24,K,0.24,1,,,,,0.3,K,0.3,1,,,,,4.4,B,0.46,1,0.93,K,0.93,1,2.6,K,2.6,17,2.7,,0.41,1,1.9,,0.25,1,1.6,K,1.6,17,,,,,,,,,1.7,K,1.7,17,,,,,1.7,K,1.7,17,,,,,,,,,0.14,K,0.14,1,1.1,K,1.1,1.8,,,,,4.4,K,4.4,17,,,,,,,,,,,,,,,,,{1812A846-F4BC-4944-B8AD-25457A8FEF3D},672
512358.508225239,220052.395233828,240-25684-2,25-KR-0020,KZOO-001 CENTER,,TestAmerica North Canton,240-25684-1,Water,2013/06/11 00:00:00+00,WS-LC-0025,1,2013/07/02 00:00:00+00,1,ng/L,Kalamazoo,Kalamazoo River,KR-0020,0405000309,04050003,Investigative,Kalamazoo River at Grand Street u/s Lake Allegan,,2013008,,-85.848104,42.531169,2.1,J,0.85,2.2,0.63,K,0.63,2.2,4.4,,0.81,2.2,0.48,K,0.48,2.2,1.3,K,1.3,2.2,1.7,J,0.94,2.2,,,,,3.1,B,0.5,2.2,1.1,J,1,2.2,0.93,J,0.87,2.2,0.77,K,0.77,2.2,0.71,K,0.71,2.2,0.22,K,0.22,2.2,,,,,0.69,K,0.69,2.2,,,,,7.2,,1.4,2.2,0.81,K,0.81,2.2,,,,,1.6,J,1.1,2.2,,,,,,,,,,,,0.73,K,0.73,,2.2,,,,,,,,,,,,,,,,,0.59,J B,0.13,2.2,,,,,0.6,K,0.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,{C66B44BB-F585-4635-BD3C-01C759BCE14D},673
534923.441308106,189801.35491942,PC-0100,25-PC-0100,PC-0100,,Vista Analytical,2001550,H20,2020/07/21 00:00:00+00,EPA-537M,1,2020/08/06 00:00:00+00,1,ng/L,Kalamazoo,Portage Creek,PC-0100,0405000306,04050003,Investigative,Monarch Milpond,,2020203,,-85.57539934,42.25797534,1.41,K,1.41,2.06,1.41,K,1.41,2.06,1.7,J,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,2.33,,1.41,2.06,,,,,2.06,,1.41,2.06,3.37,,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,,,,,1.41,K,1.41,2.06,,,,,1.88,"J, Q",1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,2.2,,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,2.48,K,2.48,,,,3.09,,1.41,K,1.41,2.06,,,,,1.41,K,1.41,2.06,,,,,,,,,1.99,K,1.99,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,1.41,K,1.41,2.06,,,,,1.41,K,1.41,2.06,,,,,{10224A6F-E89D-4013-8FB2-8737BAF19C63},674
561563.664721156,197836.048362886,(240-106185-,25-HC-0050,,,Eurofins/Lancaster,2021694,Water,2018/12/20 00:00:00+00,EPA 537 Version 1.1 Modified,,2018/12/31 00:00:00+00,1,ng/l,Kalamazoo,Beaver Dam Pond,HC-0050,0405000305,04050003,Investigative,n.w. of Kellogg Airport,Helmer Creek impoundment,2018200,,-85.25155,42.328547,42,,0.34,1.7,0.42,K,0.42,1.7,16,,0.25,0.84,0.76,K,0.76,1.7,0.5,K,0.5,1.7,120,,0.34,1.7,,,,,10,,1.7,5,11,,0.25,0.84,12,,0.34,0.84,2,,0.34,1.7,2,,0.34,1.7,0.25,K,0.25,0.84,,,,,0.42,K,0.42,2.5,,,,,65,,0.34,1.7,0.34,K,0.34,1.7,0.84,K,0.84,2.5,30,,1.7,5,13,,0.34,1.7,0.84,K,0.84,2.5,,,,,,,,,1.7,,0.84,1.7,,,,,1.7,K,1.7,5,,,,,,,,,0.5,K,0.5,1.7,0.34,K,0.34,0.84,,,,,0.84,K,0.84,2.5,,,,,,,,,,,,,,,,,{0F9D2895-A1FE-4ABC-B253-903A93DC4B76},675
535190.68675345,193890.71564907,320-41985-48,25-KR-0160,,,TestAmerica,,Water,2018/08/07 00:00:00+00,537 (modified),1,2018/08/21 00:00:00+00,1,ng/L,Kalamazoo,Kalamazoo River,KR-0160,0405000306,04050003,Investigative,Kalamazoo River at Michigan Ave,,2018100,,-85.571884,42.294787,2.2,,0.53,1,0.5,K,0.5,1,1.8,,0.78,1,0.28,K,0.28,1,0.29,K,0.29,1,3.2,B,0.16,1,,,,,1.9,,0.32,1,1.2,,0.18,1.2,0.84,J,0.23,1,0.17,K,0.17,1,0.76,J,0.25,1,0.27,K,0.27,1,,,,,0.32,K,0.32,1,,,,,4,B,0.5,1,1,K,1,1.9,2.8,K,2.8,18,2.4,,0.45,1,0.4,J,0.28,1,6.4,J,1.7,18,,,,,,,,,1.8,K,1.8,18,,,,,1.8,K,1.8,18,,,,,,,,,0.15,K,0.15,1,1.2,K,1.2,1.8,,,,,4.8,K,4.8,18,,,,,,,,,,,,,,,,,{D77A05E2-C340-4005-A30A-0DE4244A81BA},676
536203.093021537,210762.21885849,Doster-001,25-DL-0010,Doster-001,,Vista Analytical,2202297,H2O,2022/02/15 00:00:00+00,EPA-537M,1,2022/03/08 00:00:00+00,1,ng/l,Kalamazoo,Doster Lake,DL-0010,0405000306,04050003,Investigative,Doster Lake off of Midlakes Blvd,,2022006,,-85.558438,42.446664,3.32,,1.04,2.08,1.04,K,1.04,2.08,3.16,,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,,,,,2.53,,1.04,2.08,1.33,J,1.04,2.08,2.22,,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,,,,,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.81,J,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,,,,2.08,,1.04,K,1.04,2.08,,,,,1.04,K,1.04,2.08,,,,,,,,,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,1.04,K,1.04,2.08,,,,,1.04,K,1.04,2.08,,,,,{A2E93BD4-AD6E-4BAD-B977-7A79B509C701},677
